city,CO,NO2,O3,SO2,PM2.5,PM10
Newark,323.77,20.22,61.51,4.05,10.42,14.17
Peoria,230.31,1.74,80.82,0.42,0.85,1.56
O'Fallon,233.65,2.31,75.82,0.58,0.95,1.54
Hampton,253.68,4.16,90.12,2.09,14.68,16.77
Lakewood,203.61,3.34,87.98,1.52,1.73,2.77
Mesa,263.69,8.48,115.87,2.65,6.3,16.63
Bryan,216.96,4.03,63.66,0.61,4.67,6.83
Garland,273.71,9.25,39.7,0.81,3.49,3.7
Springfield,230.31,1.03,77.25,0.35,0.67,0.9
Flint,226.97,1.13,80.82,0.41,0.5,0.69
Tacoma,310.42,14.91,54.36,1.55,5.2,7.23
Waterbury,357.15,25.02,58.65,3.07,9.38,12.21
Eagan,240.33,4.46,75.1,1.07,0.55,0.86
Fort Smith,233.65,2.23,62.94,0.25,1.59,1.92
Carmichael,250.34,3.13,37.19,1.65,1.47,3.7
Daly City,250.34,4.63,82.97,0.78,2.78,3.96
Murrieta,205.28,1.63,101.57,0.48,1.34,4.4
Brentwood,280.38,9.68,47.92,1.97,3.74,8.45
Quincy,587.46,47.98,1.79,4.11,10.99,14.79
Boulder,243.66,4.93,75.1,0.2,6.44,9.17
Evanston,243.66,4.11,78.68,0.87,0.94,1.5
Dothan,206.95,0.56,95.84,0.26,6.61,9.05
Antioch,260.35,11.65,52.93,10.85,4.31,5.02
Madison,223.64,0.92,82.25,0.32,0.53,0.84
Victorville,201.94,1.13,83.69,0.12,3.17,17.33
Billings,196.93,0.41,88.69,0.05,0.5,0.76
Sandy Springs,226.97,8.4,82.97,9.3,9.58,14.48
Iowa City,230.31,1.78,80.82,1.64,1.11,1.82
Largo,230.31,4.07,124.45,1.33,6.56,10.9
Shreveport,226.97,8.14,48.64,1.33,6.96,12.1
Kalamazoo,230.31,1.84,78.68,0.89,0.69,0.96
Round Rock,260.35,11.65,30.76,1.4,5.03,8.32
Richmond,236.99,4.28,77.96,0.73,7.19,8.52
Columbia,223.64,2.16,84.4,1.0,11.52,14.65
Sandy,236.99,8.57,69.38,5.31,4.7,6.64
Hoover,260.35,6.86,60.8,0.75,10.37,15.41
Fullerton,587.46,74.71,124.45,30.99,36.52,49.62
Rapid City,196.93,0.48,80.82,0.23,0.5,0.71
Newport Beach,297.07,22.62,103.0,10.25,5.34,10.64
Columbus,243.66,2.55,72.96,0.43,2.08,2.36
Palm Coast,210.29,1.91,104.43,0.38,7.07,11.1
Albany,313.76,15.25,45.42,1.01,4.27,4.89
Jurupa Valley,223.64,3.09,95.84,0.7,1.39,5.28
Providence,350.48,21.08,22.71,0.49,3.56,4.86
Decatur,230.31,2.29,78.68,3.55,0.98,1.37
Scranton,243.66,1.82,71.53,0.23,3.15,3.23
Anaheim,587.46,74.71,124.45,30.99,36.52,49.62
Rochester,260.35,4.76,62.94,0.85,0.54,0.83
Buffalo,257.02,5.66,57.94,1.37,0.54,0.75
Richmond,236.99,4.28,77.96,0.73,7.19,8.52
Santa Ana,297.07,22.62,103.0,10.25,5.34,10.64
Sunnyvale,410.56,38.04,60.08,10.13,10.78,16.11
Milwaukee,233.65,2.06,79.39,0.5,0.71,1.06
Conroe,233.65,11.48,73.67,2.62,4.35,7.43
Savannah,243.66,2.27,103.0,0.28,12.18,14.75
German,213.62,2.08,52.21,0.41,4.07,5.65
Costa Mesa,297.07,22.62,103.0,10.25,5.34,10.64
